simulation name, date,DB_name,adaptive_optimizer,decay_epochs,depth,drop_h,drop_i,drop_o,hidden_size,init_bias,init_scale,learning_rate,lr_decay,mask,max_grad_norm,max_max_epoch,num_layers,num_steps,reset_weights_flag,start_time,state_gate,switch_to_asgd,weight_decay,wind_step_size,accuracy_window_1,accuracy_window_2,total_accuracy,corr_window_1,corr_window_2,corr_total,bbox_1,bbox_2
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_5__wind=100_stg_Rst_Rnd_Srv__27,2017-12-21,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 30 ; 35 ; 40],6,0.35,0.1,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.02],0.5,0.5,38,1,25,True,4000,True,40,1e-07,100,0.5459,0.5319,0.5381,0.0677,0.0487,0.0574,7.680,2.618
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_5__wind=100_stg_Rst_Rnd_Srv__30,2017-12-22,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 30 ; 35 ; 40],6,0.35,0.0,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.02],0.5,0.5,38,1,25,True,4000,True,40,1e-07,100,0.5469,0.5314,0.5383,0.0704,0.0494,0.0589,7.895,2.648
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_5__wind=100_stg_Rst_Rnd_Srv__32,2017-12-22,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 30 ; 35 ; 40],6,0.4,0.0,0.8,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.02],0.5,0.5,38,1,25,True,4000,True,40,1e-07,100,0.5466,0.5306,0.5377,0.0696,0.0479,0.0579,7.581,3.233
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_5__wind=100_stg_Rst_Rnd_Srv__34,2017-12-22,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 30 ; 35 ; 40],6,0.4,0.0,0.8,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.02],0.5,0.5,38,1,25,True,4000,True,40,1e-07,100,0.5463,0.5323,0.5385,0.0694,0.0492,0.0585,8.100,3.329
rhn_dep=8__hid_size=200__DB=CCver5_db__mask=0_5__wind=100_stg_Rst_Rnd_Srv__6,2017-12-22,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 30 ; 35 ; 40],8,0.38,0.1,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.02],0.5,0.5,40,1,25,True,4000,True,40,1e-07,100,0.5465,0.5316,0.5382,0.0687,0.0480,0.0574,7.887,3.523
rhn_dep=8__hid_size=200__DB=CCver5_db__mask=0_5__wind=100_stg_Rst_Rnd_Srv__8,2017-12-22,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 30 ; 35 ; 40],8,0.35,0.1,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.02],0.5,0.5,38,1,25,True,4000,True,40,1e-07,100,0.5471,0.5314,0.5383,0.0669,0.0488,0.0572,7.517,3.404
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__11,2017-12-24,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 35 ; 40],6,0.3,0.05,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3],0.45,0.8,45,1,25,True,4000,True,40,1e-07,100,0.5470,0.5321,0.5387,0.0708,0.0498,0.0594,7.773,3.392
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__12,2017-12-24,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 35 ; 40],6,0.3,0.05,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3],0.45,0.8,45,1,25,True,4000,True,40,1e-07,100,0.5461,0.5328,0.5387,0.0692,0.0505,0.0593,7.434,3.534
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__14,2017-12-24,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 35 ; 40],6,0.3,0.05,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3],0.45,0.8,45,1,25,True,4000,True,40,1e-07,100,0.5476,0.5322,0.5390,0.0719,0.0508,0.0606,8.065,3.066
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__15,2017-12-24,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 35 ; 40],6,0.3,0.05,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3],0.45,0.8,45,1,25,True,4000,True,40,1e-07,100,0.5465,0.5327,0.5388,0.0696,0.0506,0.0594,8.043,2.733
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__16,2017-12-24,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 35 ; 40],6,0.3,0.05,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3],0.45,0.8,45,1,25,True,4000,True,40,1e-07,100,0.5459,0.5318,0.5380,0.0698,0.0510,0.0598,8.022,3.140
rhn_dep=8__hid_size=200__DB=CCver5_db__mask=0_5__wind=100_stg_Rst_Rnd_Srv__9,2017-12-24,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 30 ; 35 ; 40],8,0.35,0.1,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.02],0.5,0.5,38,1,25,True,4000,True,40,1e-07,100,0.5461,0.5321,0.5383,0.0680,0.0499,0.0583,8.050,2.959
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_5__wind=100_stg_Rst_Rnd_Srv__2,2017-12-24,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 30 ; 35 ; 40],6,0.35,0.1,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.02],0.5,0.5,38,1,25,True,4000,True,40,1e-07,100,0.5459,0.5325,0.5384,0.0679,0.0494,0.0577,7.821,3.416
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_5__wind=100_stg_Rst_Rnd_Srv__44,2017-12-24,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 30 ; 35 ; 40],6,0.35,0.1,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.02],0.5,0.5,45,1,25,True,4000,True,40,1e-07,100,0.5472,0.5313,0.5384,0.0685,0.0490,0.0579,7.965,3.033
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_5__wind=100_stg_Rst_Rnd_Srv__52,2017-12-24,CCver5_db,RMSProp,[25],6,0.35,0.1,0.75,200,-2.5,0.04,0.001,[2.0],0.5,0.5,35,1,25,True,4000,True,40,1e-07,100,0.5461,0.5324,0.5384,0.0697,0.0493,0.0589,7.891,3.017
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_5__wind=100_stg_Rst_Rnd_Srv__28,2017-12-24,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 30 ; 35 ; 40],6,0.35,0.0,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.02],0.5,0.5,38,1,25,True,4000,True,40,1e-07,100,0.5466,0.5313,0.5381,0.0691,0.0487,0.0580,7.724,3.180
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_5__wind=100_stg_Rst_Rnd_Srv__37,2017-12-24,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 30 ; 35 ; 40],6,0.35,0.1,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.02],0.5,0.5,40,1,25,True,4000,True,35,1e-07,100,0.5469,0.5310,0.5380,0.0678,0.0479,0.0570,7.492,3.795
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_5__wind=100_stg_Rst_Rnd_Srv__60,2017-12-24,CCver5_db,RMSProp,[25],6,0.35,0.1,0.75,200,-2.5,0.04,0.001,[2.0],0.5,0.5,35,1,25,True,4000,True,40,1e-07,100,0.5460,0.5323,0.5383,0.0677,0.0492,0.0579,7.939,3.511
rhn_dep=8__hid_size=160__DB=CCver5_db__mask=0_5__wind=100_stg_Rst_Rnd_Srv__6,2017-12-24,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 30 ; 35 ; 40],8,0.35,0.1,0.75,160,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.02],0.5,0.3,40,1,25,True,4000,True,35,0.0,100,0.5456,0.5298,0.5368,0.0663,0.0468,0.0559,7.528,3.036
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_5__wind=100_stg_Rst_Rnd_Srv__38,2017-12-24,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 30 ; 35 ; 40],6,0.35,0.1,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.02],0.5,0.5,40,1,25,True,4000,True,35,1e-07,100,0.5474,0.5328,0.5393,0.0679,0.0490,0.0577,7.307,3.472
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_5__wind=100_stg_Rst_Rnd_Srv__4,2017-12-24,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 30 ; 35 ; 40],6,0.35,0.2,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.02],0.5,0.5,38,1,25,True,4000,True,40,1e-07,100,0.5468,0.5315,0.5383,0.0685,0.0493,0.0583,7.996,3.518
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_5__wind=100_stg_Rst_Rnd_Srv__42,2017-12-24,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 30 ; 35 ; 40],6,0.35,0.1,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.02],0.5,0.5,38,1,25,True,4000,True,40,0.0,100,0.5471,0.5307,0.5380,0.0687,0.0477,0.0573,7.558,2.721
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_5__wind=100_stg_Rst_Rnd_Srv__45,2017-12-24,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 30 ; 35 ; 40],6,0.35,0.1,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.02],0.5,0.5,45,1,25,True,4000,True,40,1e-07,100,0.5462,0.5317,0.5381,0.0688,0.0482,0.0576,7.939,2.969
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_5__wind=100_stg_Rst_Rnd_Srv__48,2017-12-24,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 30 ; 35 ; 40],6,0.35,0.1,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.02],0.5,0.5,40,1,25,True,4000,True,35,0.0,100,0.5469,0.5316,0.5384,0.0682,0.0481,0.0573,7.936,3.279
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_5__wind=100_stg_Rst_Rnd_Srv__49,2017-12-24,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 30 ; 35 ; 40],6,0.35,0.1,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.02],0.5,0.5,40,1,25,True,4000,True,35,0.0,100,0.5462,0.5312,0.5378,0.0668,0.0477,0.0564,7.714,3.440
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_5__wind=100_stg_Rst_Rnd_Srv__55,2017-12-24,CCver5_db,RMSProp,[25],6,0.35,0.1,0.75,200,-2.5,0.04,0.001,[2.0],0.5,0.5,35,1,25,True,4000,True,40,1e-07,100,0.5466,0.5308,0.5378,0.0663,0.0472,0.0564,7.836,2.877
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_5__wind=100_stg_Rst_Rnd_Srv__56,2017-12-24,CCver5_db,RMSProp,[35],6,0.35,0.0,0.75,200,-2.5,0.04,0.001,[0.1],0.5,0.5,35,1,25,True,4000,True,35,1e-07,100,0.5466,0.5325,0.5388,0.0684,0.0480,0.0576,7.487,3.361
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_5__wind=100_stg_Rst_Rnd_Srv__57,2017-12-24,CCver5_db,RMSProp,[35],6,0.35,0.0,0.75,200,-2.5,0.04,0.001,[0.1],0.5,0.5,35,1,25,True,4000,True,35,1e-07,100,0.5454,0.5327,0.5383,0.0674,0.0485,0.0574,7.500,3.095
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_5__wind=100_stg_Rst_Rnd_Srv__61,2017-12-24,CCver5_db,RMSProp,[25],6,0.35,0.1,0.75,200,-2.5,0.04,0.001,[2.0],0.5,0.5,35,1,25,True,4000,True,40,1e-07,100,0.5460,0.5326,0.5385,0.0664,0.0486,0.0570,7.878,3.224
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_5__wind=100_stg_Rst_Rnd_Srv__65,2017-12-24,CCver5_db,RMSProp,[35],6,0.35,0.0,0.75,200,-2.5,0.04,0.001,[0.1],0.5,0.5,40,1,25,True,4000,True,35,1e-07,100,0.5471,0.5322,0.5388,0.0671,0.0503,0.0583,7.780,4.208
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_5__wind=100_stg_Rst_Rnd_Srv__67,2017-12-24,CCver5_db,RMSProp,[35],6,0.35,0.0,0.75,200,-2.5,0.04,0.001,[0.1],0.5,0.5,40,1,25,True,4000,True,35,1e-07,100,0.5455,0.5334,0.5388,0.0662,0.0491,0.0571,7.712,3.140
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_5__wind=100_stg_Rst_Rnd_Srv__7,2017-12-24,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 30 ; 35 ; 40],6,0.35,0.2,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 0.02],0.5,0.5,38,1,25,True,4000,True,40,1e-07,100,0.5467,0.5313,0.5381,0.0680,0.0480,0.0572,7.982,3.154
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__18,2017-12-24,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 35 ; 40],6,0.3,0.05,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3],0.45,0.8,45,1,25,True,4000,True,40,1e-07,100,0.5452,0.5317,0.5377,0.0688,0.0503,0.0590,7.948,3.578
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__19,2017-12-24,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 35 ; 40],6,0.3,0.05,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3],0.45,0.8,45,1,25,True,4000,True,40,1e-07,100,0.5468,0.5326,0.5388,0.0701,0.0514,0.0601,7.595,3.088
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__22,2017-12-24,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 35 ; 40],6,0.3,0.05,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3],0.45,0.8,45,1,25,True,4000,True,40,1e-07,100,0.5471,0.5311,0.5382,0.0701,0.0501,0.0594,7.675,2.748
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__23,2017-12-24,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 35 ; 40],6,0.3,0.05,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3],0.45,0.8,45,1,25,True,4000,True,40,1e-07,100,0.5454,0.5320,0.5380,0.0686,0.0495,0.0583,8.287,3.368
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__24,2017-12-24,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 35 ; 40],6,0.3,0.05,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3],0.45,0.8,45,1,25,True,4000,True,40,1e-07,100,0.5465,0.5328,0.5388,0.0685,0.0512,0.0594,7.988,3.247
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__26,2017-12-24,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 35 ; 40],6,0.3,0.05,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3],0.45,0.8,45,1,25,True,4000,True,40,1e-07,100,0.5469,0.5325,0.5389,0.0700,0.0508,0.0596,7.947,3.388
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__28,2017-12-24,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 35 ; 40],6,0.3,0.05,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3],0.45,0.8,45,1,25,True,4000,True,40,1e-07,100,0.5477,0.5313,0.5386,0.0699,0.0492,0.0589,7.965,3.087
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__29,2017-12-24,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 35 ; 40],6,0.3,0.05,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3],0.45,0.8,45,1,25,True,4000,True,40,1e-07,100,0.5469,0.5321,0.5387,0.0702,0.0498,0.0593,7.958,3.031
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__30,2017-12-24,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 35 ; 40],6,0.3,0.05,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3],0.45,0.8,45,1,25,True,4000,True,40,1e-07,100,0.5464,0.5315,0.5381,0.0691,0.0506,0.0593,7.964,3.780
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__31,2017-12-24,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 35 ; 40],6,0.3,0.05,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3],0.45,0.8,45,1,25,True,4000,True,40,1e-07,100,0.5469,0.5309,0.5379,0.0697,0.0494,0.0589,7.854,2.974
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__34,2017-12-24,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 35 ; 40],6,0.3,0.05,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3],0.45,0.8,45,1,25,True,4000,True,40,1e-07,100,0.5473,0.5319,0.5387,0.0704,0.0514,0.0603,7.943,3.366
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__35,2017-12-24,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 35 ; 40],6,0.3,0.05,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3],0.45,0.8,45,1,25,True,4000,True,40,1e-07,100,0.5453,0.5338,0.5388,0.0701,0.0526,0.0606,7.961,3.123
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__38,2017-12-24,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 35 ; 40],6,0.3,0.05,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3],0.45,0.8,45,1,25,True,4000,True,40,1e-07,100,0.5468,0.5319,0.5385,0.0699,0.0504,0.0596,7.703,3.803
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__40,2017-12-24,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 35 ; 40],6,0.3,0.05,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3],0.45,0.8,45,1,25,True,4000,True,40,1e-07,100,0.5471,0.5323,0.5388,0.0714,0.0512,0.0606,8.015,2.890
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__41,2017-12-24,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 35 ; 40],6,0.3,0.05,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3],0.45,0.8,45,1,25,True,4000,True,40,1e-07,100,0.5458,0.5327,0.5385,0.0687,0.0511,0.0594,7.709,3.179
rhn_dep=6__hid_size=200__DB=CCver5_db__mask=0_45__wind=100_stg_Rst_Rnd_Srv__42,2017-12-24,CCver5_db,RMSProp,[10 ; 15 ; 20 ; 25 ; 35 ; 40],6,0.3,0.05,0.75,200,-2.5,0.04,0.001,[1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3 ; 1.3],0.45,0.8,45,1,25,True,4000,True,40,1e-07,100,0.5455,0.5328,0.5384,0.0699,0.0508,0.0595,8.211,2.533
